path,role,format,size_bytes,transparent_background,alpha_channel,sha256
metadata/alpha_channel_qa.json,metadata/documentation,json,66087,False,False,b6a43dbd9e8dbc2f0fedb20d3c6e552e645e7f5379d36f87d9b0287c1a199a93
metadata/asset_manifest.csv,metadata/documentation,csv,80779,False,False,4b43beed11df8c114fd25f8221e353266a9ff22e8f075dba8d5725a4ea7cc730
metadata/asset_manifest.json,metadata/documentation,json,181094,False,False,9c745bca2b134e3dc45729bb5922f06dc8e42e8c9800dda79460f8bf427adb51
metadata/design_tokens.json,metadata/documentation,json,1022,False,False,429b8bad635192f82d640661883ffb1e8846e8baf243332cec431b677b24b5b2
metadata/i18n_rules.json,metadata/documentation,json,1095,False,False,e69de705036732156360d529eb1f49b3dc3464b411618c2780f8d32f40660a2b
metadata/language_neutral_asset_audit.json,metadata/documentation,json,2784,False,False,39f6423ab4de828b9af712f889aff8a28614083e209db0d55dfd1d8815b58f37
metadata/layout_contract.json,metadata/documentation,json,2519,False,False,3b49b1f78ae46634295715f7f9bd099fdac8e673aefb95fd920f699d44c45500
metadata/localization_manifest.json,metadata/documentation,json,3035,False,False,85d718821820b58a9bd308410f5fdced57d881896091c4133112ff6d23e3ef75
metadata/qa_summary.json,metadata/documentation,json,720,False,False,2b02b6740326b6cd4e0d621df4355ef255d9628f997ccb0ef838627cd89921e4
navigation/active/png/admin_96.png,asset,png,5523,True,True,6efd7abafddf56dcc30700f853238ef321818faeaa0719f79804238610ee9d4d
navigation/active/png/calendar_96.png,asset,png,3558,True,True,570a025bf331a13b091a85aa389799d9659349cd84d8637b403db5f9ce6af6f2
navigation/active/png/chats_96.png,asset,png,4644,True,True,bef36cd361708aade6da8af98e76a908c8a0330a1edd7d52dc792d1b229c7c70
navigation/active/png/events_96.png,asset,png,5140,True,True,3db20c9abd38a36f333696726c108f27c4267c3bc6679a300120ea3736bb2ebf
navigation/active/png/feed_96.png,asset,png,3775,True,True,3996239e16ab3de78ceb41930682375b803092d24f2dca2e3de65c097581c5c4
navigation/active/png/files_96.png,asset,png,2916,True,True,85fcac789a6f47e1669648d463dacea2fd9c1141b98785624e925ed9c87ffc97
navigation/active/png/finance_96.png,asset,png,3156,True,True,9784d69ab8a61921cb7cf27ef9983d3d96e5ec4a006fed87948aec121d148fb8
navigation/active/png/groups_96.png,asset,png,5157,True,True,300b5dbe06cdfec53273442ab3bde172343bed89502866ab1b181d95049145b6
navigation/active/png/musicians_96.png,asset,png,4893,True,True,a4fa944fa731c146c3db120754667c296c5e679af5a23dcd882878909e861f1f
navigation/active/png/notifications_96.png,asset,png,3697,True,True,15b90df1ca29c296bc774172e4068c7dd8f364b0902d040168d5dfe366bbb4cf
navigation/active/png/offers_96.png,asset,png,3764,True,True,ee01b55c9ae655ef94596f1b9c3c9b2a6c605e62f2926e0b18f10b4e08f247f2
navigation/active/png/profile_96.png,asset,png,7426,True,True,2f1db272753f48cb46fcf1298d2b65e8040ddf2c62c4951aa58eee62d4f5368b
navigation/active/png/projects_96.png,asset,png,3365,True,True,3718cabb599c1d8ee2cbd870011121e270a5d8e2660163ea80bacc89e921135d
navigation/active/png/rating_96.png,asset,png,2669,True,True,660692460cd181b2445e30552a1e6970ec511360ee009431e5fbeab1f21f1bea
navigation/active/png/riders_96.png,asset,png,3775,True,True,3996239e16ab3de78ceb41930682375b803092d24f2dca2e3de65c097581c5c4
navigation/active/png/search_96.png,asset,png,4318,True,True,a276fcc3d682f3f1dbb063a61e625fdb3019a04417b7bfae1f42e27cd4187ddd
navigation/active/png/settings_96.png,asset,png,4122,True,True,e8b7c68e10343df7913b065e0e93cc7c21a4717ca91a7249d845a984f27e911b
navigation/active/png/studios_96.png,asset,png,3510,True,True,fe0d3b4dcfad65163317adc2f0b7c71d4afed930dbecc062b0df81b6cdd97772
navigation/active/svg/admin.svg,asset,svg,1085,False,False,0dc276f28b95dabbdee28a3cbb3e694410feab33772fef413308f6f16472035c
navigation/active/svg/calendar.svg,asset,svg,1148,False,False,1a6ea6c9f6e6aaf6c7fc004abaafd6ad60c14a949063c48f5870df60a852ea18
navigation/active/svg/chats.svg,asset,svg,1117,False,False,6d4bbdc2b7d8585b00fbdf23b899740723820ef27a423bd6a3d239f88fe0fecd
navigation/active/svg/events.svg,asset,svg,1098,False,False,0d2bd4dd2f386cedbc3458095fb448cf51600129726a8c9644a485363fc6772a
navigation/active/svg/feed.svg,asset,svg,1123,False,False,0ccf7e4ced7797ef156b317e536315ec32d2eacc727af96b647bffcb03a5919a
navigation/active/svg/files.svg,asset,svg,1060,False,False,183d3254bd6d22fa463f30e565d40cd24dc19b12078583c5854b1c0498a11473
navigation/active/svg/finance.svg,asset,svg,1108,False,False,e8ad4f1f40c35133eeb5ea5418b8a683ef91186a795aa04cc1ad1b3512fd72f1
navigation/active/svg/groups.svg,asset,svg,1133,False,False,068eec222848188d19c72ad4dd84787c4e0ab9a0440b2793825f00c21de5f629
navigation/active/svg/musicians.svg,asset,svg,1117,False,False,1a233d7616abdec9df2e1c8fb64c0efbd94fd5f161bb9a12a0e5a1a64c8bb244
navigation/active/svg/notifications.svg,asset,svg,1087,False,False,1fd1b64dec12010b833f902833eed8b35b3b8076eda9b5f704700b0c47e9aa8b
navigation/active/svg/offers.svg,asset,svg,1121,False,False,8996ba61ec43eaf83a2e8fa830d7676adf54111ef9a42d2b129c3e6292b96720
navigation/active/svg/profile.svg,asset,svg,1102,False,False,023b07f41027314b9c8202b689e876f6b169c0a050977fc4f513f804de1592f8
navigation/active/svg/projects.svg,asset,svg,1082,False,False,b1398cf72860f56d925a30ea310dd105b820996711fd038a9a062e98e3b3d5dc
navigation/active/svg/rating.svg,asset,svg,1049,False,False,e294c311b3b2458bdf274485f6f409c61e84fa8e690009d83cca027c9d1414de
navigation/active/svg/riders.svg,asset,svg,1123,False,False,0ccf7e4ced7797ef156b317e536315ec32d2eacc727af96b647bffcb03a5919a
navigation/active/svg/search.svg,asset,svg,1048,False,False,b67c62dc91a5e1cee65208693645ad01330d3758c7e20dca5a6a31733af019bd
navigation/active/svg/settings.svg,asset,svg,1110,False,False,743a391d9a9f56cfdaecf188b417cf06c002246791d972bb61c767a5c26fcf89
navigation/active/svg/studios.svg,asset,svg,1121,False,False,8d3e17a69dac923fc1d80ddc7be126a891957b0b55fc5768dd146eefabf67d77
navigation/active/webp/admin_96.webp,asset,webp,4546,True,True,7f4450677277164eae6f0b5cb9c43e9660d084a2ebf84be1ab63cf0e5dbda5f9
navigation/active/webp/calendar_96.webp,asset,webp,3236,True,True,2b14bb7604e4500ae3470a7fbd1e4bf2b2368781345e3790e88185af27434a27
navigation/active/webp/chats_96.webp,asset,webp,3960,True,True,f3e6e9eed31350c77022cc4b6858ddaf83d73370b0ce06af2e271bc0a49d3935
navigation/active/webp/events_96.webp,asset,webp,4142,True,True,f0d46ead07d8854441454a5f299bc4d4c3f1c91eebf64771926cb110a9224d4a
navigation/active/webp/feed_96.webp,asset,webp,3472,True,True,59bca80cd6bf34a08b6849e9c071c42e3a211c0cba3b50a70384382813177142
navigation/active/webp/files_96.webp,asset,webp,2828,True,True,6e2db388a262701bdb8d308480a865615324ac13c9cf71637d55aec5020b4c43
navigation/active/webp/finance_96.webp,asset,webp,3052,True,True,d4e6b286d49eb09186191bc1b844f00d7e9b3d82449d9b18a695e81106d24b0b
navigation/active/webp/groups_96.webp,asset,webp,4086,True,True,e3af1062212976d6eeda25096fff125f5327c83ec175820bf9ea65211b7b6eb0
navigation/active/webp/musicians_96.webp,asset,webp,4016,True,True,ba0bc8f436a93e60e6d55c3399e5ce3854e22fa3368d64e1d48c485db18c98b6
navigation/active/webp/notifications_96.webp,asset,webp,3326,True,True,8e1017b3225e0ae885ea4429681ecde62c97d8e12fbfbe0c94ced0305f028df2
navigation/active/webp/offers_96.webp,asset,webp,3296,True,True,f387612ad0663c33b1680be9cc5b78e5b65ad2c368d841188770fa4313442009
navigation/active/webp/profile_96.webp,asset,webp,6022,True,True,4028fee1fb7b5ca7529352b3f06f845e65b9f6f2524f1f08b5b5599dc319201a
navigation/active/webp/projects_96.webp,asset,webp,3084,True,True,8757ce2fb37c5a2f37f793ec996478619c4cbf0fee2d4ceca85f089d8ccc9ae8
navigation/active/webp/rating_96.webp,asset,webp,2542,True,True,c3371ca60798ad178cb37aa244ad35cb3b9e3f162c2e1adcf6555f7d494e2dd9
navigation/active/webp/riders_96.webp,asset,webp,3472,True,True,59bca80cd6bf34a08b6849e9c071c42e3a211c0cba3b50a70384382813177142
navigation/active/webp/search_96.webp,asset,webp,3436,True,True,ba74c50ce33853bf08c699d20d896b87d252251e13d3097c955831f91158f728
navigation/active/webp/settings_96.webp,asset,webp,3858,True,True,fd519dc3bcb8c3f57377da6f5cb48e0970b8f54e78dd68542b052e50c5f148c6
navigation/active/webp/studios_96.webp,asset,webp,3254,True,True,34edb2529d00229d650d143a8a1e7c0a95a95a286c83f0da7456c24646d4bd42
navigation/inactive/png/admin_96.png,asset,png,4682,True,True,e0450b146d3c9ef641ee8fc281ef80a61dfbf0641a11acdffc9a3cb9b304f036
navigation/inactive/png/calendar_96.png,asset,png,2695,True,True,88200a4bd09268ec41ade3bc4c2c0c9d0fda29cf76e42f7f613588c60a38bca5
navigation/inactive/png/chats_96.png,asset,png,4194,True,True,d9d9f7e5ca13fbf5ac8c4efcdfe93bda9bbce0a83f138116733432fe7bfbedf5
navigation/inactive/png/events_96.png,asset,png,4283,True,True,6bed25560b0ae9920765f7788282311c9e3434bcfcb42339308c36c7083d82b5
navigation/inactive/png/feed_96.png,asset,png,3158,True,True,d5f23f768ca863d07a80d1c0970fdb8b39abf410dc6e6757807db0160d5d725e
navigation/inactive/png/files_96.png,asset,png,2323,True,True,6307f5000f3e574c45d87b3c28b633a06c3198f709ddd4c8bb285eb048468938
navigation/inactive/png/finance_96.png,asset,png,2724,True,True,4bf877e87795c8207e94798632ff1da33ea93f082811d340e643c80919e6be34
navigation/inactive/png/groups_96.png,asset,png,4197,True,True,cb9abb6f3438577c3059c4777edb8273b2cf78724e7669498dc161cb5e46d6d8
navigation/inactive/png/musicians_96.png,asset,png,4537,True,True,90d3a8c4266e803d59f742fd5d2ba16f1a0a1bd6631e62ae5ba517ec50c2eb63
navigation/inactive/png/notifications_96.png,asset,png,3284,True,True,92c8159edcaba5cf9b53f27487982ad198fe4a48c90035f6b0928632dca12a9f
navigation/inactive/png/offers_96.png,asset,png,3091,True,True,1647ce8a8aed8ef2588b88e42c182cfd06491b7122f2c854e4eb921aee37b9c6
navigation/inactive/png/profile_96.png,asset,png,7074,True,True,57f83a07596aec6cb089a5aaee90fe0f845fc989aa8302f4f05470f9cee8c6f0
navigation/inactive/png/projects_96.png,asset,png,2937,True,True,c9f70e63e47e21245b5c16022088a318e0881d4979576dd5688a220bedf9b96a
navigation/inactive/png/rating_96.png,asset,png,1972,True,True,685951f8df6bc70437b56be416cfcc6bd202452869d1b561ba48d77871def239
navigation/inactive/png/riders_96.png,asset,png,3158,True,True,d5f23f768ca863d07a80d1c0970fdb8b39abf410dc6e6757807db0160d5d725e
navigation/inactive/png/search_96.png,asset,png,3799,True,True,55857e637ab113f651ebbcd1fd8c7bd23f636a89399f8481bad53ff4e137c9ea
navigation/inactive/png/settings_96.png,asset,png,3393,True,True,af8ed4bd2f5d4ab90e998a2758d1919eea458d86cf8dbdaacc0bbd719be9ff6e
navigation/inactive/png/studios_96.png,asset,png,2721,True,True,a3ced74e9349f65571dd1e30763c2314cae2733a90bad14f3bd04bf62652a15e
navigation/inactive/svg/admin.svg,asset,svg,1080,False,False,c464561d79ef852a01892cc4e29480aa6b22edf424ff9edb44a021fa3e3f95fb
navigation/inactive/svg/calendar.svg,asset,svg,1143,False,False,0cd0927a1fbddc38ebfa740f5b118aa17e7f97fa28f1efe6c7846c3e8fdc5b34
navigation/inactive/svg/chats.svg,asset,svg,1112,False,False,fa83bbcb712ce198058b9755007778cde3d35981990ca9bb606346de583347f1
navigation/inactive/svg/events.svg,asset,svg,1093,False,False,eadd75e6bf0a5e8c786a51377def9d9ce62701c9eb09338d57e4274d2af9c9c8
navigation/inactive/svg/feed.svg,asset,svg,1118,False,False,d46dd0db15b2390f68d945aa257fb621140f7534101d3d86784a20bc9b8a8859
navigation/inactive/svg/files.svg,asset,svg,1055,False,False,c373be36746aae9216cdcfd7778acd0d98d69047ef951e7fd6865cd0b85bde2b
navigation/inactive/svg/finance.svg,asset,svg,1103,False,False,134053991d87c7c1620f3ca85fe673b587c71b5925185a9255d712db4cd6a64c
navigation/inactive/svg/groups.svg,asset,svg,1128,False,False,8d0ab2d0f0bda17a1eaa57ac4ba1cd668030a3f01d413909eed3454c0e3233ee
navigation/inactive/svg/musicians.svg,asset,svg,1112,False,False,77d7032d3ba64e1b8ae92903b0a64c432433c6a09f3cba4094c1e7e7070ad191
navigation/inactive/svg/notifications.svg,asset,svg,1082,False,False,979ad600d9446cf5ae9b69d26a6841ac8c58643130b71a7ab41785475424bb97
navigation/inactive/svg/offers.svg,asset,svg,1116,False,False,f968130a98c686db01ac4174d59d6f55a4bc4ba1485d95202639cfc184a2c630
navigation/inactive/svg/profile.svg,asset,svg,1097,False,False,0d48c55bcb6ad31caec7e2b27d06f50a7bb998fc0ee404e6c3991a2fca7a7915
navigation/inactive/svg/projects.svg,asset,svg,1077,False,False,6c8c3d6024c02e9f3d22bebe8eee8a40ce6459ca78995c7c57c7c931527a6027
navigation/inactive/svg/rating.svg,asset,svg,1044,False,False,5cc171d3ed019df676f7361c03180acdeb82c4cc6f8a9e6d282826dd038386bd
navigation/inactive/svg/riders.svg,asset,svg,1118,False,False,d46dd0db15b2390f68d945aa257fb621140f7534101d3d86784a20bc9b8a8859
navigation/inactive/svg/search.svg,asset,svg,1043,False,False,40faaba1d248e75b65bc402a8af57c29ae0202498d857bb99f090109d36a62e3
navigation/inactive/svg/settings.svg,asset,svg,1105,False,False,6eb8e79f8063ab021527963adbc58f8cdbed3ba863caa230b0ed0d9152fad10f
navigation/inactive/svg/studios.svg,asset,svg,1116,False,False,4efa84abe16b81cc3ced8a09e6a144a903105527f8ed7a693182cf5ef7204ad8
navigation/inactive/webp/admin_96.webp,asset,webp,4414,True,True,9f92b5bb5b9d331d5ae61e617052c6d1f1b9c1b3aaf8d8104155c548c16c42e0
navigation/inactive/webp/calendar_96.webp,asset,webp,3016,True,True,5dede3bba6f0b24f2dc825a61992f1afb47bdf77e1ec95420d81e01c824048c9
navigation/inactive/webp/chats_96.webp,asset,webp,3912,True,True,935b0f8682b0d936e8bfe39b8919bf9fa40fae3e8df0ef8ff6d23929297be591
navigation/inactive/webp/events_96.webp,asset,webp,4162,True,True,f2d46b4e93e215a72d8df95e1cc2a048666c436b6aa8a874bfe4ea761b59db46
navigation/inactive/webp/feed_96.webp,asset,webp,3380,True,True,fb69223da86a90c4a58d9c012c06722f132348cd9a3f5e62fb882b54798dd673
navigation/inactive/webp/files_96.webp,asset,webp,2718,True,True,0759ddf9af03a749a4d6a854856f1d9874361b689b47556ff227743a4ad49141
navigation/inactive/webp/finance_96.webp,asset,webp,2980,True,True,5818c378d0ce7d4f04c19c618798b668a7ccbfd4d41fb25286e0924d60f43ee1
navigation/inactive/webp/groups_96.webp,asset,webp,4060,True,True,eb2d84f34433e20843e4072aedee2c4e3cc1edc734c00e70fbe51b81fac3c8e4
navigation/inactive/webp/musicians_96.webp,asset,webp,3952,True,True,d3890441650f57b98ac61e2dc3bee84a5cdbb5aef6492f9d6f847be494877149
navigation/inactive/webp/notifications_96.webp,asset,webp,3194,True,True,4fa8ac92bbb5e1f302cb1e37743e77259512d9371107954c54f542ec74c95913
navigation/inactive/webp/offers_96.webp,asset,webp,3212,True,True,326a4e4791188c04a6bbd9a9fc1c6cc5ad0105c9587a7bd301db4d4a46177dc6
navigation/inactive/webp/profile_96.webp,asset,webp,6012,True,True,c374a3d46701f10e9bdc1b2372a64b54acc206527dcfa7465b914ce05b9430d4
navigation/inactive/webp/projects_96.webp,asset,webp,2960,True,True,bcf712c7f5c1f11e3c9bde9d6278c69f84e4c4beaaa737b353c79139c4c62eb8
